i,filter,type,Vega_ZP,ST_ZP,AB_ZP,mag(Vega/ST),mag(Vega/AB)
13,ACS_WFC_F892N,Vega,0.0002584193,0.0010747281,0.0004053988,1.5474341076,0.4888937163
2,ACS_RAMP_8230,Vega,0.0003689546,0.0012934078,0.0005724911,1.3619064363,0.4769895449
3,ACS_RAMP_8365,Vega,0.0003410838,0.0012554148,0.0005379692,1.4148154184,0.4947408580
4,ACS_RAMP_8500,Vega,0.0003072363,0.0012083410,0.0005015771,1.4867925118,0.5321630584
5,ACS_RAMP_8560,Vega,0.0002942469,0.0011856477,0.0004853217,1.5131093860,0.5432944283
6,ACS_RAMP_8640,Vega,0.0002816116,0.0011537720,0.0004636241,1.5311736368,0.5412885519
7,ACS_RAMP_8800,Vega,0.0002588333,0.0010849012,0.0004203538,1.5559251376,0.5264871876
8,ACS_RAMP_8830,Vega,0.0002561279,0.0010713489,0.0004123115,1.5536849795,0.5169212710
9,ACS_RAMP_9810,Vega,0.0000934270,0.0004836092,0.0001508877,1.7850555118,0.5204534939
10,ACS_RAMP_9960,Vega,0.0000673091,0.0003807481,0.0001152711,1.8814095875,0.5841163265
11,ACS_RAMP_10000,Vega,0.0000608740,0.0003565510,0.0001070816,1.9192239218,0.6132072909
